Region,Total Homes Sold,Adjusted Average Homes Sold,Adjusted Average New Listings,Adjusted Pending Sales
"Racine, WI metro area",314.4095371669004,56.01683029453015,62.50210378681627,41.60729312762973
"Radford, VA",13.833333333333334,2.447530864197531,2.419753086419753,1.5895061728395061
"Rains County, TX",12.69221411192214,2.187347931873479,2.6204379562043796,1.8236009732360097
"Raleigh, NC metro area",3065.378787878788,547.6666666666666,576.8898071625345,394.44077134986225
"Ralls County, MO",16.983606557377048,2.134426229508197,1.8491803278688526,1.4721311475409835
"Ramsey County, MN",827.0722580645162,147.41806451612902,159.70451612903227,130.6090322580645
"Ramsey County, ND",5.2178571428571425,1.1357142857142857,1.2107142857142856,1.0464285714285715
"Randall County, TX",267.0022805017104,47.352337514253136,48.175598631698975,35.173318129988594
"Randolph County, AL",24.741779497098648,4.061895551257253,5.051257253384913,2.351063829787234
"Randolph County, AR",16.271875,2.6625,3.128125,1.4875
"Randolph County, GA",3.0588235294117645,1.0147058823529411,1.0147058823529411,1.1470588235294117
"Randolph County, IL",21.942401960784313,3.4154411764705883,3.758578431372549,1.517156862745098
"Randolph County, IN",20.340753424657535,3.546232876712329,3.815068493150685,2.3236301369863015
"Randolph County, MO",19.07369942196532,3.046242774566474,4.179190751445087,1.8959537572254335
"Randolph County, NC",146.9957507082153,26.11473087818697,29.070821529745043,19.526912181303118
"Rankin County, MS",219.15927601809955,38.65610859728507,39.277828054298645,25.8579185520362
"Ransom County, ND",4.30379746835443,1.240506329113924,1.0253164556962024,1.1265822784810127
"Rapid City, SD metro area",206.9412470023981,36.52278177458034,40.23381294964029,26.8705035971223
"Rapides Parish, LA",4.398648648648648,1.2297297297297298,1.1013513513513513,1.135135135135135
"Rappahannock County, VA",14.446540880503145,2.311320754716981,3.0172955974842766,1.419811320754717
"Ravalli County, MT",83.41183574879227,14.565217391304348,15.231884057971014,7.102657004830918
"Rawlins County, KS",2.727272727272727,1.0129870129870129,1.0129870129870129,1.0
"Ray County, MO",31.51794871794872,5.382905982905983,6.282051282051282,4.153846153846154
"Raymondville, TX metro area",4.481042654028436,1.40521327014218,1.2440758293838863,1.099526066350711
